"age","gender","marital_status","annual_income","employment_status","debt_to_income_ratio","credit_score","loan_amount","loan_purpose","interest_rate","loan_term","grade_subgrade","num_of_open_accounts","total_credit_limit","current_balance","delinquency_history","public_records","loan_paid_back","credit_score_category","loan_term_years","borrower_grade","age_group","debt_to_income_rating","loan_amount_segments","loan_paid_back_cat"
"59","Male","Married","24240.19","Employed","0.074","743","17173.72","Car","13.39","36","B5","7","40833.47","24302.07","1","0","1","1-Excellent","3","B","50-59","1. Excellent(<20%)","15-21k","paid"
"72","Female","Married","20172.98","Employed","0.219","531","22663.89","Debt consolidation","17.81","60","F1","5","27968.01","10803.01","1","0","1","3-Risky","5","F","60+","2. Standard(20-35%)","21k","paid"
"49","Female","Single","26181.8","Employed","0.234","779","3631.36","Business","9.53","60","B4","2","15502.25","4505.44","0","0","1","1-Excellent","5","B","35-49","2. Standard(20-35%)","<9k","paid"
"35","Female","Single","11873.84","Employed","0.264","809","14939.23","Other","7.99","36","A5","7","18157.79","5525.63","4","0","1","1-Excellent","3","A","35-49","2. Standard(20-35%)","9-15k","paid"
"63","Other","Single","25326.44","Employed","0.26","663","16551.71","Car","15.2","60","D5","1","17467.56","3593.91","2","0","1","2-Standard","5","D","60+","2. Standard(20-35%)","15-21k","paid"
"28","Male","Single","55559.8","Employed","0.081","774","12724.02","Debt consolidation","12.73","60","B1","3","76147.61","14885.25","0","0","1","1-Excellent","5","B","25-34","1. Excellent(<20%)","9-15k","paid"
"41","Male","Single","24642.88","Unemployed","0.165","742","5905.27","Car","12.48","36","B3","6","18380.15","12683.33","3","0","0","1-Excellent","3","B","35-49","1. Excellent(<20%)","<9k","default"
"59","Female","Single","52610.69","Employed","0.135","810","15136.35","Debt consolidation","8.45","36","A3","4","75260.33","13768.13","0","0","1","1-Excellent","3","A","50-59","1. Excellent(<20%)","15-21k","paid"
"39","Other","Single","62922.05","Employed","0.074","724","500","Home","9.95","36","C4","6","42759.4","15596.93","3","0","1","2-Standard","3","C","35-49","1. Excellent(<20%)","<9k","paid"
"43","Female","Single","53439.89","Employed","0.375","796","14712.38","Car","11.81","36","B1","4","40629.06","15965.92","2","0","0","1-Excellent","3","B","35-49","3. Risky(36-43%)","9-15k","default"
"31","Female","Married","37067.58","Self-employed","0.166","722","24847.59","Car","15.16","36","C3","3","31600.7","16748.87","1","0","1","2-Standard","3","C","25-34","1. Excellent(<20%)","21k","paid"
"31","Female","Married","73500.9","Employed","0.17","687","500","Business","12.82","36","C2","6","77679.01","53010.23","1","0","1","2-Standard","3","C","25-34","1. Excellent(<20%)","<9k","paid"
"44","Male","Single","71284.88","Employed","0.313","738","16352.99","Debt consolidation","10.22","36","C4","2","57020.85","36722.12","0","0","1","2-Standard","3","C","35-49","2. Standard(20-35%)","15-21k","paid"
"73","Female","Married","23763.07","Employed","0.272","637","18191.26","Home","14.32","36","D4","5","28673.92","4814.55","4","0","1","2-Standard","3","D","60+","2. Standard(20-35%)","15-21k","paid"
"56","Female","Divorced","21597.98","Employed","0.153","764","14908.25","Medical","8.5","36","B1","8","30287.45","4164.77","0","0","1","1-Excellent","3","B","50-59","1. Excellent(<20%)","9-15k","paid"
"60","Female","Married","27877.04","Student","0.269","618","15819.7","Business","12.33","36","D3","4","36113.16","32635.74","6","0","0","2-Standard","3","D","60+","2. Standard(20-35%)","15-21k","default"
"44","Male","Widowed","30137.96","Employed","0.059","720","10886.6","Home","14.09","36","C1","1","39076.27","4781.56","1","0","1","2-Standard","3","C","35-49","1. Excellent(<20%)","9-15k","paid"
